DATE,VALUE
2006-01-01,.
2007-01-01,5.6756
2008-01-01,7.0847
2009-01-01,8.0848
2010-01-01,7.0145
2011-01-01,7.6854
2012-01-01,8.9374
2013-01-01,7.6074
2014-01-01,7.4615
2015-01-01,.
